LAL,LAL @ NOP,03/22/2018,L,26,15,6,12,50.0,1,4,25.0,2,2,100,0,1,1,2,0,0,6,3,-7,13.2
LAL,LAL @ IND,03/19/2018,L,25,11,4,14,28.6,0,5,0.0,3,4,75.0,0,3,3,3,0,0,1,3,-8,18.1
LAL,LAL vs. MIA,03/16/2018,L,27,5,1,9,11.1,0,2,0.0,3,4,75.0,1,1,2,3,0,0,3,2,-9,8.9
LAL,LAL @ GSW,03/14/2018,L,37,20,6,14,42.9,5,9,55.6,3,3,100,0,1,1,7,1,0,4,0,-10,30.7
LAL,LAL vs. DEN,03/13/2018,W,31,23,7,19,36.8,4,9,44.4,5,6,83.3,3,1,4,2,0,0,3,2,15,27.8
LAL,LAL vs. CLE,03/11/2018,W,31,20,7,16,43.8,2,7,28.6,4,4,100,3,2,5,9,1,0,5,3,18,37.5
LAL,LAL @ DEN,03/09/2018,L,29,10,5,13,38.5,0,2,0.0,0,0,-,0,2,2,4,1,0,2,2,-1,19.4
LAL,LAL vs. ORL,03/07/2018,W,26,13,5,12,41.7,3,6,50.0,0,0,-,1,2,3,9,0,0,2,1,10,28.1
LAL,LAL vs. POR,03/05/2018,L,30,19,5,21,23.8,1,9,11.1,8,9,88.9,0,1,1,7,0,0,2,2,-17,28.7
LAL,LAL @ SAS,03/03/2018,W,29,21,6,16,37.5,1,5,20.0,8,8,100,0,1,1,7,0,0,5,1,6,27.7
LAL,LAL @ MIA,03/01/2018,W,30,29,11,20,55.0,6,11,54.5,1,2,50.0,1,3,4,6,0,0,3,1,13,39.8
LAL,LAL @ ATL,02/26/2018,W,27,13,4,10,40.0,1,5,20.0,4,4,100,1,1,2,5,0,0,1,3,13,21.9
LAL,LAL @ SAC,02/24/2018,W,23,17,4,11,36.4,3,7,42.9,6,6,100,0,2,2,4,0,0,2,1,-1,23.4
LAL,LAL vs. DAL,02/23/2018,W,25,17,5,12,41.7,2,7,28.6,5,5,100,0,2,2,4,2,0,2,2,4,29.4
LAL,LAL @ MIN,02/15/2018,L,25,7,3,15,20.0,0,5,0.0,1,1,100,0,1,1,5,0,1,5,2,-8,13.7
LAL,LAL @ NOP,02/14/2018,L,5,3,1,1,100,0,0,-,1,1,100,0,1,1,2,0,0,2,0,-2,5.2
LAL,LAL @ DAL,02/10/2018,L,31,22,7,12,58.3,4,8,50.0,4,4,100,0,1,1,6,1,0,6,5,0,29.2
CLE,CLE vs. MIN,02/07/2018,W,31,13,4,8,50.0,3,5,60.0,2,2,100,0,3,3,7,0,0,3,1,-6,24.1
CLE,CLE @ ORL,02/06/2018,L,30,11,3,13,23.1,1,6,16.7,4,4,100,0,1,1,8,1,0,1,2,-16,26.2
CLE,CLE vs. HOU,02/03/2018,L,26,12,5,13,38.5,0,4,0.0,2,2,100,0,5,5,3,0,0,3,1,-20,19.5
CLE,CLE vs. MIA,01/31/2018,W,30,13,2,15,13.3,0,6,0.0,9,9,100,1,4,5,6,4,0,2,2,2,38.0
CLE,CLE @ DET,01/30/2018,L,33,19,3,10,30.0,1,4,25.0,12,13,92.3,0,3,3,5,0,0,6,3,-25,24.1
CLE,CLE vs. DET,01/28/2018,W,27,14,5,12,41.7,1,4,25.0,3,4,75.0,0,2,2,7,0,0,1,3,4,25.9
CLE,CLE vs. IND,01/26/2018,W,29,12,5,13,38.5,2,8,25.0,0,0,-,0,2,2,5,0,1,5,0,2,19.9
CLE,CLE @ SAS,01/23/2018,L,28,14,3,9,33.3,0,2,0.0,8,9,88.9,1,0,1,2,1,0,3,1,-15,18.2
CLE,CLE vs. OKC,01/20/2018,L,26,24,8,14,57.1,4,8,50.0,4,5,80.0,0,0,0,4,1,0,3,2,-24,30.0
CLE,CLE vs. ORL,01/18/2018,W,30,21,6,15,40.0,3,10,30.0,6,7,85.7,2,1,3,4,2,0,2,0,-1,34.6
CLE,CLE vs. GSW,01/15/2018,L,32,19,8,21,38.1,1,7,14.3,2,2,100,0,1,1,4,0,0,1,2,-9,25.2
CLE,CLE @ TOR,01/11/2018,L,25,4,2,15,13.3,0,6,0.0,0,0,-,1,1,2,3,0,1,1,1,-20,12.9
CLE,CLE @ MIN,01/08/2018,L,19,9,3,11,27.3,1,5,20.0,2,2,100,1,0,1,3,0,0,3,1,-18,11.7
CLE,CLE @ ORL,01/06/2018,W,21,19,7,13,53.8,2,4,50.0,3,5,60.0,1,1,2,4,0,0,5,3,-3,22.4
CLE,CLE vs. POR,01/02/2018,W,19,17,6,12,50.0,3,8,37.5,2,4,50.0,0,0,0,3,0,0,2,3,17,19.5
