CHA,CHA @ IND,04/10/2018,W,25,15,6,11,54.5,3,6,50.0,0,0,-,0,2,2,5,0,0,1,0,21,23.9
CHA,CHA vs. IND,04/08/2018,L,25,12,4,9,44.4,0,3,0.0,4,4,100,0,1,1,5,0,0,4,0,-9,16.7
CHA,CHA @ ORL,04/06/2018,W,23,13,3,9,33.3,1,4,25.0,6,6,100,0,1,1,4,1,0,1,0,20,22.2
CHA,CHA @ CHI,04/03/2018,L,31,9,4,11,36.4,1,6,16.7,0,1,0.0,0,1,1,4,0,0,2,0,-11,14.2
CHA,CHA vs. PHI,04/01/2018,L,26,10,2,7,28.6,1,5,20.0,5,5,100,0,1,1,4,0,1,4,0,-12,16.2
CHA,CHA @ WAS,03/31/2018,L,32,7,3,9,33.3,1,6,16.7,0,0,-,2,2,4,2,1,0,4,1,-11,13.8
CHA,CHA vs. CLE,03/28/2018,L,33,21,7,18,38.9,2,8,25.0,5,5,100,0,2,2,4,0,0,2,0,-14,27.4
CHA,CHA vs. NYK,03/26/2018,W,39,31,11,21,52.4,4,12,33.3,5,5,100,0,2,2,7,0,0,3,1,10,40.9
CHA,CHA @ DAL,03/24/2018,W,34,24,9,17,52.9,4,8,50.0,2,2,100,0,2,2,2,3,1,5,2,0,36.4
CHA,CHA vs. MEM,03/22/2018,W,28,46,13,18,72.2,10,14,71.4,10,10,100,0,3,3,4,1,0,2,1,47,56.6
CHA,CHA @ BKN,03/21/2018,W,37,24,6,25,24.0,1,5,20.0,11,11,100,2,3,5,6,2,0,0,1,13,45.0
CHA,CHA @ PHI,03/19/2018,L,40,24,8,19,42.1,1,9,11.1,7,7,100,1,7,8,6,3,1,3,0,-11,51.6
CHA,CHA @ NYK,03/17/2018,L,25,10,4,10,40.0,2,5,40.0,0,0,-,0,1,1,2,0,0,2,1,-16,12.2
CHA,CHA @ ATL,03/15/2018,W,35,24,6,14,42.9,6,10,60.0,6,6,100,0,4,4,8,1,0,2,2,19,41.8
CHA,CHA @ NOP,03/13/2018,L,39,22,9,20,45.0,3,7,42.9,1,1,100,0,3,3,7,1,0,3,1,-4,36.1
CHA,CHA vs. PHX,03/10/2018,W,39,11,4,14,28.6,2,8,25.0,1,2,50.0,0,2,2,7,1,0,1,1,9,25.9
CHA,CHA vs. BKN,03/08/2018,L,31,21,7,11,63.6,3,3,100,4,4,100,0,0,0,6,2,0,3,1,-21,33.0
CHA,CHA vs. PHI,03/06/2018,L,35,5,1,9,11.1,0,5,0.0,3,6,50.0,0,3,3,7,0,1,2,2,-19,20.1
CHA,CHA @ TOR,03/04/2018,L,39,27,8,23,34.8,3,12,25.0,8,11,72.7,1,5,6,4,1,0,1,1,-8,42.2
CHA,CHA @ PHI,03/02/2018,L,38,31,11,21,52.4,4,10,40.0,5,6,83.3,0,1,1,5,1,0,1,1,-12,41.7
CHA,CHA @ BOS,02/28/2018,L,25,23,9,13,69.2,4,6,66.7,1,2,50.0,0,0,0,5,0,0,0,1,-20,30.5
CHA,CHA vs. CHI,02/27/2018,W,34,31,11,19,57.9,6,10,60.0,3,4,75.0,0,2,2,5,3,0,6,0,14,43.9
CHA,CHA vs. DET,02/25/2018,W,28,17,5,11,45.5,2,4,50.0,5,5,100,1,0,1,6,0,1,4,2,4,26.2
CHA,CHA @ WAS,02/23/2018,W,33,24,8,17,47.1,5,10,50.0,3,3,100,1,6,7,2,1,0,1,1,14,37.4
CHA,CHA vs. BKN,02/22/2018,W,35,31,12,22,54.5,4,8,50.0,3,3,100,0,0,0,7,2,0,1,1,18,46.5
CHA,CHA @ ORL,02/14/2018,W,42,20,6,19,31.6,4,8,50.0,4,4,100,1,4,5,6,4,1,1,2,1,49.0
CHA,CHA vs. TOR,02/11/2018,L,31,23,7,17,41.2,4,6,66.7,5,6,83.3,0,2,2,9,1,1,2,1,-10,42.9
CHA,CHA @ UTA,02/09/2018,L,33,19,8,19,42.1,3,8,37.5,0,0,-,0,3,3,5,0,0,2,2,-12,28.1
CHA,CHA @ POR,02/08/2018,L,39,40,13,26,50.0,6,11,54.5,8,8,100,0,1,1,3,4,0,3,1,-3,54.7
CHA,CHA @ DEN,02/05/2018,L,33,20,6,13,46.2,3,6,50.0,5,6,83.3,0,3,3,4,1,0,2,1,-14,30.6
CHA,CHA @ PHX,02/04/2018,W,34,18,6,19,31.6,2,10,20.0,4,5,80.0,0,2,2,5,0,1,2,2,-12,28.9
CHA,CHA vs. IND,02/02/2018,W,42,41,11,22,50.0,5,12,41.7,14,14,100,1,2,3,9,0,0,4,1,8,54.1
CHA,CHA @ ATL,01/31/2018,W,39,38,12,20,60.0,9,13,69.2,5,7,71.4,0,2,2,6,0,0,1,1,24,48.4
CHA,CHA @ IND,01/29/2018,L,35,23,7,15,46.7,3,5,60.0,6,7,85.7,0,3,3,4,1,0,3,1,-3,32.6
CHA,CHA @ MIA,01/27/2018,L,41,30,8,22,36.4,4,9,44.4,10,14,71.4,1,5,6,5,1,1,1,4,6,49.7
CHA,CHA vs. ATL,01/26/2018,W,35,29,10,22,45.5,5,10,50.0,4,4,100,2,2,4,4,3,0,4,1,28,44.8
CHA,CHA vs. NOP,01/24/2018,L,34,20,8,21,38.1,3,8,37.5,1,2,50.0,0,5,5,7,0,1,6,1,-6,33.5
CHA,CHA vs. SAC,01/22/2018,W,40,26,6,20,30.0,5,14,35.7,9,10,90.0,0,6,6,9,1,2,6,0,7,49.7
CHA,CHA vs. MIA,01/20/2018,L,37,22,10,25,40.0,1,8,12.5,1,2,50.0,0,3,3,7,3,0,1,3,1,44.1
CHA,CHA vs. WAS,01/17/2018,W,29,19,6,15,40.0,4,8,50.0,3,3,100,1,2,3,7,0,1,1,1,14,35.1
CHA,CHA @ DET,01/15/2018,W,35,20,9,18,50.0,1,5,20.0,1,1,100,1,3,4,9,0,0,1,1,4,37.3
CHA,CHA vs. OKC,01/13/2018,L,34,19,5,17,29.4,2,7,28.6,7,8,87.5,0,3,3,2,1,0,5,2,-4,23.6
CHA,CHA vs. UTA,01/12/2018,W,37,22,5,14,35.7,4,6,66.7,8,9,88.9,0,2,2,6,0,0,2,2,17,31.4
CHA,CHA vs. DAL,01/10/2018,L,37,41,16,28,57.1,3,9,33.3,6,6,100,0,3,3,4,3,1,1,3,0,61.6
CHA,CHA @ LAL,01/05/2018,W,30,19,8,17,47.1,3,8,37.5,0,0,-,0,2,2,7,4,0,1,0,12,42.9
CHA,CHA @ SAC,01/02/2018,W,30,12,4,11,36.4,1,5,20.0,3,3,100,1,3,4,10,2,0,0,1,29,37.8
CHA,CHA @ LAC,12/31/2017,L,33,30,11,21,52.4,4,10,40.0,4,7,57.1,0,1,1,2,2,0,1,1,-21,39.2
CHA,CHA @ GSW,12/29/2017,W,35,16,5,16,31.3,3,9,33.3,3,4,75.0,0,5,5,5,3,2,1,1,11,43.5
CHA,CHA vs. BOS,12/27/2017,L,36,24,9,22,40.9,4,10,40.0,2,2,100,0,1,1,5,0,0,4,0,-4,28.7
